date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA100,EMA200
2010-12-29,27.03,28.01,26.5,27.73,3319200.0,29.915986795224836,28.410156076669235,26.114994508614778,24.563531847743402
2010-12-30,27.7,27.9,26.38,26.5,2041100.0,29.590654719489137,28.335247995231228,26.122618379731318,24.582800187566853
2010-12-31,26.57,27.25,26.5,26.63,1417900.0,29.308687603347316,28.268375524830002,26.132665540528716,24.60317033495425
2011-01-03,26.84,26.9999,25.9,26.62,1283000.0,29.05262211731424,28.20373334738569,26.14231572784498,24.62323829182038
2011-01-04,26.66,26.95,26.02,26.67,1187400.0,28.825705725189074,28.14358694160586,26.152764921353,24.64360407996147
2011-01-05,26.48,26.9,26.19,26.83,1446700.0,28.635638513266304,28.092073728209552,26.166175516969773,24.66535926324544
2011-01-06,26.83,28.0,26.81,27.88,2061200.0,28.563672940574275,28.08375711141702,26.200112635445617,24.697345738238024
2011-01-07,28.0,28.58,27.9,28.24,2247900.0,28.532846946233867,28.089884283518316,26.240506444644712,24.732596029399836
2011-01-10,28.17,28.68,28.05,28.45,1342700.0,28.52495676087826,28.104006468478385,26.28425879227551,24.769585123634663
2011-01-11,28.59,28.71,26.92,26.96,1710200.0,28.375913259842235,28.059143469714527,26.297639806289855,24.791380296533823
2011-01-12,27.01,27.399,26.52,26.96,964400.0,28.241064377952497,28.01603980423553,26.31075584972966,24.81295860204095
2011-01-13,26.96,26.97,26.16,26.22,723600.0,28.048582056242736,27.945606870736096,26.30895870419046,24.826959013960945
2011-01-14,26.15,26.58,25.61,25.75,1192000.0,27.829669479457714,27.859504640511155,26.297890214998567,24.83614350138422
2011-01-18,25.48,25.64,24.75,25.64,1621700.0,27.62112952903317,27.77246524284405,26.284862685988692,24.844142073509754
2011-01-19,25.27,25.47,23.75,24.03,2371500.0,27.279117192934773,27.62570189998742,26.24021193973149,24.836041157355428
2011-01-20,24.03,24.45,22.37,22.62,2279900.0,26.835391745988602,27.429399864693796,26.168524574588293,24.813990996585726
